first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
João,Virgínia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Anthony,Gordon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,44
Moise,Kean,0,0,2,13,0,1.3,0.0,11.0,0,1,0.9,0,0,0,0.4,59
Jarrad,Branthwaite,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,40
Allan,Marques Loureiro,0,0,7,270,3,20.4,54.4,8.0,0,38,8.2,1,0,0,1.7,55
James,Rodríguez,1,1,17,252,3,140.0,88.4,57.0,2,74,28.6,1,0,0,28.2,77
Abdoulaye,Doucouré,0,0,6,244,3,52.0,41.4,37.0,0,45,13.0,1,0,1,1.8,55
Fabricio,Agosto Ramírez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.9,40
Kevin,McDonald,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Maxime,Le Marchand,0,0,0,32,0,0.6,5.0,0.0,0,2,0.6,0,0,1,0.1,44
Stefan,Johansen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Tom,Cairney,0,0,2,180,6,50.9,25.2,3.0,0,27,7.9,0,0,2,0.2,54
Tim,Ream,0,0,2,180,6,2.6,28.2,0.0,0,32,3.1,0,0,0,0.2,45
Anthony,Knockaert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53
Michael,Hector,0,0,0,237,10,11.3,38.8,18.0,0,33,6.7,0,0,1,0.2,44
Cyrus,Christie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Neeskens,Kebano,0,0,4,106,3,4.5,1.4,32.0,0,9,3.6,0,0,0,0.1,49
Bobby,Decordova-Reid,1,0,7,124,3,10.8,36.6,47.0,0,34,9.4,0,0,1,0.2,55
Joe,Bryan,0,1,4,270,10,31.5,46.0,25.0,0,47,10.3,0,0,1,0.8,49
Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Aleksandar,Mitrović,2,0,15,207,7,19.9,78.2,135.0,3,49,22.6,0,0,1,19.0,60
Alfie,Mawson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Marek,Rodák,0,0,1,90,3,0.0,18.2,0.0,0,11,1.8,0,0,0,0.4,45
Ivan Ricardo,Neves Abreu Cavaleiro,0,0,6,270,10,78.7,29.6,41.0,0,24,14.9,0,0,0,0.1,55
Josh,Onomah,0,0,3,131,7,7.4,12.0,2.0,0,7,2.1,0,0,0,0.1,49
Jean Michaël,Seri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Aboubakar,Kamara,0,0,3,170,8,41.2,6.6,7.0,0,2,5.0,0,0,1,0.1,50
André-Frank,Zambo Anguissa,0,1,8,207,7,61.9,72.6,26.0,0,47,16.1,0,0,0,2.8,45
Zeze Steven,Sessegnon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Harrison,Reed,0,0,4,159,7,19.6,23.6,8.0,0,31,5.1,0,0,0,1.2,45
Antonee,Robinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Mario,Lemina,0,0,1,20,0,0.1,2.4,0.0,0,2,0.3,0,0,0,0.8,45
Alphonse,Areola,0,0,2,180,7,0.0,43.6,0.0,0,28,4.3,0,0,0,1.3,45
Kenny,Tete,0,1,2,128,6,67.5,53.0,4.0,0,29,12.4,0,0,1,0.2,45
Denis,Odoi,0,0,1,270,10,20.8,35.4,8.0,0,34,6.4,0,0,1,0.1,45
Wes,Morgan,0,0,1,1,0,0.0,0.2,0.0,0,3,0.0,0,0,0,0.1,44
Kasper,Schmeichel,0,0,10,270,4,0.0,66.6,0.0,0,51,6.7,1,0,0,13.0,55
Christian,Fuchs,0,0,1,10,1,0.0,6.0,0.0,0,3,0.6,0,0,0,0.1,45
Jonny,Evans,0,0,2,79,1,0.2,12.4,0.0,0,6,1.3,0,0,0,0.1,55
Adrien,Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45
Marc,Albrighton,0,0,2,30,0,0.9,0.6,2.0,0,6,0.3,0,0,0,0.2,54
Matty,James,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,45
Danny,Ward,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45
Jamie,Vardy,5,0,32,264,4,22.0,179.0,129.0,6,140,33.1,1,0,0,22.8,100
Dennis,Praet,1,1,16,224,3,57.7,79.8,68.0,1,59,20.6,1,0,0,0.8,55
Ricardo Domingos,Barbosa Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59
Daniel,Amartey,0,0,0,90,2,0.8,12.6,0.0,0,5,1.3,0,0,1,1.6,40
Youri,Tielemans,1,0,11,270,4,42.9,80.8,35.0,0,61,15.9,1,0,1,1.9,64
Ayoze,Pérez,0,0,5,127,1,5.8,6.8,52.0,0,9,6.5,1,0,0,1.9,64
Demarai,Gray,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54
James,Maddison,1,1,12,64,2,23.8,36.2,9.0,1,35,6.9,0,0,0,2.9,70
Kelechi,Iheanacho,0,0,1,5,0,0.3,0.0,0.0,0,2,0.0,0,0,0,0.4,58
Hamza,Choudhury,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Harvey,Barnes,1,1,18,270,4,47.3,83.6,183.0,3,48,31.3,1,0,0,5.6,70
Wilfred,Ndidi,0,0,5,180,2,1.5,47.8,0.0,0,29,4.9,1,0,0,1.1,49
Filip,Benkovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Çaglar,Söyüncü,0,0,7,270,4,22.8,63.0,44.0,0,50,13.0,1,0,1,11.0,55
James,Justin,1,1,17,270,4,33.5,86.6,35.0,1,70,15.5,1,0,1,22.5,47
Luke,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,43
Timothy,Castagne,1,3,27,270,4,43.1,99.0,47.0,4,92,19.0,1,0,0,14.9,57
Nampalys,Mendy,0,1,9,270,4,31.8,50.6,0.0,0,40,8.2,1,0,1,2.7,45
Cengiz,Ünder,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60
Pablo,Hernández Domínguez,0,0,2,61,3,2.9,7.6,2.0,0,8,1.3,0,0,0,0.6,59
Francisco,Casilla Cortés,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,44
Liam,Cooper,0,0,7,180,3,0.8,42.4,4.0,0,39,4.7,1,0,0,0.7,44
Barry,Douglas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,10.3,40
Luke,Ayling,0,0,8,270,7,17.9,77.6,10.0,1,55,10.6,1,0,0,3.8,45
Mateusz,Klich,2,1,21,260,6,62.0,126.4,52.0,2,83,24.1,1,0,1,7.9,56
Adam,Forshaw,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Stuart,Dallas,0,1,10,270,7,24.3,60.6,38.0,0,61,12.4,1,0,0,5.0,45
Ezgjan,Alioski,0,0,2,21,0,1.5,5.6,19.0,0,6,2.7,0,0,0,0.5,44
Patrick,Bamford,3,2,29,220,6,24.8,125.0,92.0,5,102,24.2,1,0,0,23.8,58
Jack,Harrison,1,1,16,270,7,74.8,84.2,41.0,1,52,20.0,1,0,0,2.5,55
Kalvin,Phillips,0,1,9,270,7,124.0,87.0,1.0,0,66,21.2,1,0,1,3.4,50
Hélder Wander,Sousa de Azevedo e Costa,2,1,22,245,7,34.4,98.4,63.0,2,62,19.7,1,0,0,10.0,56
Tyler,Roberts,0,0,3,118,3,20.4,12.6,11.0,0,12,4.4,0,0,0,0.1,50
Jay-Roy,Grot,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Kamil,Miazek,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,40
Ian Carlo,Poveda-Ocampo,0,0,1,24,0,0.8,3.2,25.0,0,2,2.9,0,0,0,0.2,44
Jamie,Shackleton,0,0,1,9,1,0.4,3.0,0.0,0,6,0.3,0,0,0,0.0,49
Pascal,Struijk,0,0,0,90,4,0.1,41.0,0.0,0,19,4.1,0,0,0,2.1,40
Jordan,Stevens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,45
Illan,Meslier,0,0,13,270,7,10.0,71.6,0.0,3,75,8.2,1,0,0,2.2,45
Leif,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,40
Oliver,Casey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40
Robin,Koch,0,0,7,270,7,0.8,53.8,39.0,0,48,9.4,1,0,0,0.6,45
Rodrigo,Moreno,0,0,3,118,2,4.9,2.8,29.0,0,5,3.7,0,0,0,3.7,58
Elia,Caprile,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Mateusz,Bogusz,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Diego,Llorente,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
James,Milner,0,0,2,37,0,7.1,4.2,4.0,0,12,1.5,0,0,0,0.2,54
Konstantinos,Tsimikas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Georginio,Wijnaldum,0,0,7,270,4,44.1,27.6,73.0,0,27,14.5,1,0,0,1.6,54
Jordan,Henderson,0,0,3,110,2,20.8,20.0,7.0,0,25,4.8,0,0,0,1.4,54
Adrián,San Miguel del Castillo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45
Joel,Matip,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.3,54
Xherdan,Shaqiri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,64
Alex,Oxlade-Chamberlain,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,64
Roberto,Firmino,0,1,8,265,4,66.9,38.2,108.0,0,43,21.3,1,0,1,3.0,94
Virgil,van Dijk,1,0,16,270,4,4.3,67.0,66.0,1,60,13.7,1,0,0,29.0,65
Sadio,Mané,3,0,25,259,4,79.0,135.8,208.0,4,84,42.4,1,0,1,12.3,119
Alisson,Ramses Becker,0,0,17,270,4,0.0,75.0,0.0,2,66,7.5,1,0,0,13.9,60
Fabio Henrique,Tavares,0,1,9,212,2,17.4,42.2,2.0,0,52,6.2,1,0,0,1.6,55
Mohamed,Salah,3,1,28,270,4,138.9,139.6,256.0,3,101,53.4,1,0,0,39.1,121
Andrew,Robertson,1,1,20,270,4,65.4,75.0,53.0,2,75,19.4,1,0,0,13.8,70
Divock,Origi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,54
Harry,Wilson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53
Takumi,Minamino,0,0,2,5,0,0.3,0.0,2.0,0,5,0.2,0,0,0,0.2,63
Trent,Alexander-Arnold,0,1,15,268,4,109.8,52.6,22.0,4,68,18.4,1,0,1,43.7,75
Joseph,Gomez,0,0,3,180,4,13.1,36.2,0.0,0,32,4.9,0,0,0,2.7,54
Naby,Keita,0,0,6,198,3,22.7,17.2,48.0,0,27,8.8,1,0,0,0.7,54
Rhian,Brewster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.8,45
Curtis,Jones,0,0,1,24,1,13.3,2.4,2.0,0,2,1.8,0,0,0,0.5,45
Neco,Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.7,40
Harvey,Elliott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Diogo,Jota,1,0,6,10,0,1.9,29.2,28.0,0,15,5.9,0,0,0,1.6,63
Thiago,Alcántara do Nascimento,0,0,1,45,0,17.8,3.2,1.0,0,3,2.2,0,0,0,3.0,60
Fernando,Luiz Rosa,0,0,3,140,2,12.8,31.0,29.0,0,17,7.3,0,0,0,1.5,55
Claudio,Bravo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Sergio,Agüero,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,104
Nicolás,Otamendi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,49
Kyle,Walker,0,0,2,180,6,17.1,29.2,29.0,0,21,7.5,0,0,0,5.5,60
Ilkay,Gündogan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,54
Kevin,De Bruyne,1,1,15,180,6,114.1,95.6,74.0,3,55,28.4,0,0,0,43.3,116
John,Stones,0,0,2,90,1,0.3,20.2,0.0,0,14,2.1,0,0,0,0.6,50
Benjamin,Mendy,0,0,1,180,6,24.9,16.6,8.0,0,21,5.0,0,0,1,1.8,60
Riyad,Mahrez,1,1,12,90,5,42.9,52.4,30.0,2,39,12.5,0,0,0,3.6,84
Raheem,Sterling,0,1,7,171,6,21.2,26.8,69.0,0,13,11.7,0,0,0,6.2,115
João Pedro Cavaco,Cancelo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,54
Ederson,Santana de Moraes,0,0,2,180,6,0.0,19.2,0.0,0,24,1.9,0,0,0,5.3,60
Nathan,Aké,1,0,7,180,6,8.2,50.6,17.0,0,33,7.6,0,0,1,8.1,55
Aymeric,Laporte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.0,60
Bernardo Mota,Veiga de Carvalho e Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,74
Gabriel Fernando,de Jesus,1,0,6,90,1,13.8,47.0,45.0,1,28,10.6,0,0,1,1.4,94
Oleksandr,Zinchenko,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,55
Phil,Foden,1,0,11,153,4,22.5,47.0,23.0,2,42,9.2,0,0,0,8.3,66
Tommy,Doyle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Rodrigo,Hernandez,0,0,3,180,6,24.2,24.6,4.0,0,22,5.3,0,0,1,0.5,55
Ferran,Torres,0,0,2,35,2,12.2,0.4,1.0,0,1,1.3,0,0,0,0.9,69
Eric,Garcia,0,0,0,90,5,15.8,14.6,0.0,0,17,3.0,0,0,0,0.2,49
Adrián,Bernabé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Zack,Steffen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Liam,Delap,0,0,1,39,4,0.3,0.0,4.0,0,0,0.2,0,0,0,0.9,45
Cole,Palmer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Rúben Santos,Gato Alves Dias,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
Sergio,Romero,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50
Juan,Mata,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59
David,de Gea,0,0,3,180,5,0.0,42.4,0.0,0,25,4.3,0,0,0,4.1,55
Chris,Smalling,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49
Odion,Ighalo,0,0,1,9,1,0.1,0.0,2.0,0,1,0.2,0,0,0,0.2,64
Marcos,Rojo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Nemanja,Matic,0,1,4,90,2,4.6,22.6,9.0,0,19,3.6,0,0,1,0.3,50
Paul,Pogba,0,0,4,130,2,7.6,15.6,16.0,0,10,3.8,0,0,0,1.6,79
Phil,Jones,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Harry,Maguire,0,1,4,180,5,5.1,29.8,22.0,0,36,5.7,0,0,1,3.8,55
Frederico,Rodrigues de Paula Santos,0,0,1,25,1,0.8,2.4,0.0,0,4,0.3,0,0,0,0.1,54
Luke,Shaw,0,0,2,180,5,11.3,27.8,4.0,0,31,4.4,0,0,0,1.5,50
Jesse,Lingard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,59
Bruno Miguel,Borges Fernandes,1,1,14,180,5,119.2,86.2,44.0,3,53,24.9,0,0,1,20.8,105
Anthony,Martial,0,0,4,179,4,9.8,2.8,56.0,0,10,6.8,0,0,0,10.8,89
Andreas,Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Dean,Henderson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.1,54
Marcus,Rashford,1,0,9,180,5,45.8,44.8,49.0,0,32,14.0,0,0,0,6.2,95
Axel,Tuanzebe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Victor,Lindelöf,0,0,2,180,5,3.3,44.8,4.0,0,33,5.2,0,0,0,1.5,50
Scott,McTominay,0,0,2,90,3,37.0,26.0,28.0,0,21,9.1,0,0,0,0.3,50
Eric,Bailly,0,0,1,8,1,0.0,1.2,0.0,0,3,0.1,0,0,0,0.3,50
Daniel,James,0,0,1,45,1,5.3,1.8,22.0,0,4,2.9,0,0,0,0.3,64
Timothy,Fosu-Mensah,0,0,0,80,2,30.5,17.8,16.0,0,17,6.4,0,0,1,0.1,45
Aaron,Wan-Bissaka,0,0,1,90,2,1.2,16.2,0.0,0,14,1.7,0,0,0,10.0,54
José Diogo,Dalot Teixeira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Mason,Greenwood,0,0,3,126,3,15.8,6.2,32.0,0,7,5.2,0,0,0,6.4,74
Tahith,Chong,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
James,Garner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Brandon,Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,44
Teden,Mengi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40
Donny,van de Beek,1,0,7,24,3,3.4,36.2,25.0,0,22,6.5,0,0,0,3.8,70
Andy,Carroll,0,1,7,145,2,16.1,10.2,72.0,0,15,9.8,1,0,0,0.6,55
Jonjo,Shelvey,0,0,5,251,3,72.0,27.0,42.0,0,26,14.1,1,0,2,0.3,55
Matt,Ritchie,0,0,2,68,1,23.3,11.6,18.0,0,10,5.3,0,0,0,0.1,50
Federico,Fernández,0,0,9,270,4,10.7,61.6,4.0,0,56,7.6,1,0,0,1.3,50
Ciaran,Clark,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Karl,Darlow,0,0,17,270,4,0.0,120.4,0.0,3,76,12.1,1,0,0,1.0,50
Martin,Dubravka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,49
Florian,Lejeune,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Jamaal,Lascelles,0,0,8,270,4,1.5,45.6,4.0,0,40,5.1,1,0,1,3.3,45
Dwight,Gayle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59
Christian,Atsu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54
Paul,Dummett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Javier,Manquillo,0,0,8,270,4,25.1,35.0,4.0,0,48,6.4,1,0,1,0.4,45
Emil,Krafth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Fabian,Schär,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
DeAndre,Yedlin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44
Isaac,Hayden,0,0,5,270,4,15.5,35.0,10.0,0,28,6.1,1,0,2,0.1,50
Rolando,Aarons,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Allan,Saint-Maximin,0,0,4,106,2,3.4,3.8,5.0,0,7,1.2,1,0,0,8.7,54
Miguel,Almirón,0,1,7,126,2,66.6,45.6,36.0,0,33,14.8,0,0,0,0.7,59
